qParameter,Classifier,ACC,std_ACC,SE,std_SE,F1,std_F1,AUC,std_AUC,BACC,std_BACC,kappa,std_kappa,gmean,std_gmean
6.0,GaussianNB,0.9860,0.01,0.9819,0.01,0.9909,0.00,1.0000,0.00,0.9910,0.00,0.9599,0.03,0.9909,0.00
6.0,DecisionTree,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00
6.0,RandomForest,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00
6.0,LogisticRegression,0.9924,0.01,1.0000,0.00,0.9951,0.00,1.0000,0.00,0.9829,0.01,0.9775,0.02,0.9826,0.01
6.0,SVM,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00
6.0,Bagging,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00
6.0,KNN,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00
6.0,Adaboost,0.9994,0.00,0.9992,0.00,0.9996,0.00,1.0000,0.00,0.9996,0.00,0.9984,0.00,0.9996,0.00
6.0,MLP,0.7653,0.04,1.0000,0.00,0.8664,0.03,0.5000,0.00,0.5000,0.00,0.0000,0.00,0.0000,0.00
6.0,Catboost,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00
