qParameter,Classifier,ACC,std_ACC,SE,std_SE,F1,std_F1,AUC,std_AUC,BACC,std_BACC,kappa,std_kappa,gmean,std_gmean
6.0,GaussianNB,0.9948,0.00,0.9932,0.01,0.9966,0.00,1.0000,0.00,0.9966,0.00,0.9854,0.01,0.9966,0.00
6.0,DecisionTree,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00
6.0,RandomForest,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00
6.0,LogisticRegression,0.9918,0.01,1.0000,0.00,0.9946,0.00,0.9709,0.02,0.9833,0.01,0.9775,0.02,0.9831,0.01
6.0,SVM,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00
6.0,Bagging,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00
6.0,KNN,0.9977,0.00,1.0000,0.00,0.9984,0.00,1.0000,0.00,0.9956,0.01,0.9939,0.01,0.9956,0.01
6.0,Adaboost,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00
6.0,MLP,0.7653,0.04,1.0000,0.00,0.8664,0.03,0.5000,0.00,0.5000,0.00,0.0000,0.00,0.0000,0.00
6.0,Catboost,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00
