qParameter,Classifier,ACC,std_ACC,SE,std_SE,F1,std_F1,AUC,std_AUC,BACC,std_BACC,kappa,std_kappa,gmean,std_gmean
6.0,GaussianNB,0.9930,0.00,0.9909,0.01,0.9954,0.00,1.0000,0.00,0.9954,0.00,0.9805,0.01,0.9954,0.00
6.0,DecisionTree,0.9953,0.00,0.9953,0.01,0.9969,0.00,0.9964,0.01,0.9949,0.01,0.9873,0.01,0.9949,0.01
6.0,RandomForest,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00
6.0,LogisticRegression,0.9819,0.01,1.0000,0.00,0.9883,0.01,0.9711,0.03,0.9607,0.03,0.9467,0.03,0.9595,0.03
6.0,SVM,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00
6.0,Bagging,0.9988,0.00,0.9991,0.00,0.9992,0.00,1.0000,0.00,0.9984,0.00,0.9971,0.01,0.9984,0.00
6.0,KNN,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00
6.0,Adaboost,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00
6.0,MLP,0.8818,0.03,1.0000,0.00,0.9277,0.02,0.7508,0.04,0.7508,0.04,0.6029,0.08,0.7058,0.06
6.0,Catboost,0.9994,0.00,0.9991,0.00,0.9996,0.00,1.0000,0.00,0.9996,0.00,0.9987,0.00,0.9996,0.00
